           B1_1.JPG    FC300X_(3.61_mm)
             23 1.914665092190650 2.171770616982248
             31 -0.652037067268854 1.736701663213375
             32 -1.483332271820586 1.687329385767515
             36 -0.057530579487142 1.484316959405341
             41 -0.350713133101199 1.346876918470461
             45 1.385557723335575 1.203267446124269
             49 -1.564786974923982 0.950569766293315
             51 -0.645078951532952 0.896625779536705
             57 -1.283629545451029 0.567363849541687
             66 -1.994987151940917 0.231400724426597
             70 -0.376949923589230 -0.164066359302794
             74 1.600291497385292 -0.717668225074501
             76 1.263485062523398 -1.061605517845167
             88 1.285974339316325 1.754779341335361
             90 0.813413911019211 1.744942237051118
             92 1.261825517410084 1.708157496797603
             94 -0.065823347772814 1.558062804713590
             96 0.754859271697096 1.464466958029585
             97 -1.758649738397369 1.452609714112777
             98 -0.968115966703518 1.453099436266217
            105 -0.249404996658347 1.299657673918194
            112 0.590989487648418 1.168771444328960
            116 0.663645684482105 1.115171988594841
            117 -1.545492475005905 1.072196176492243
            124 0.613363984322064 0.949486791081501
            128 0.152480240518239 0.731042968940397
            131 1.160451792327643 0.665235446333531
            138 0.160572429592146 0.593369173144658
            144 -0.270107936345731 0.415539686083984
            148 0.906979156026897 0.369744706466971
            155 -0.918468607833918 0.173250103497762
            156 1.757683640615986 0.156128036601411
            157 -0.470094562379089 0.121466919219231
            170 1.667602220092500 -0.342801884780112
            171 0.851288299747288 -0.385408760785024
            218 -2.525284744873412 1.730544243675010
            219 0.161617271873966 1.684403398382957
            227 -1.076068384868426 1.491557926149469
            228 1.225190448906794 1.317680631285640
            229 1.348018523062140 1.288850610893405
            230 1.093916312087202 1.258741230699890
            234 -2.844656017650628 0.953756821249841
            235 -1.248208629438729 0.673191310182711
            236 -0.193450641832483 0.522491877495165
            239 1.516451674843132 0.211233361740971
            240 -0.265032062034305 0.024772295311634
            244 1.711608383963521 -0.354229942569843
            246 0.547628151623586 -0.448942416776382
            250 1.807106205863274 -0.762466600566135
            292 -0.954653135769336 1.374332818730383
            297 1.108896452305822 1.089346461756789
            301 0.166939103583849 1.041763905714009
            302 -0.681203610768281 1.032994380471094
            304 -0.269932334203111 0.967699936437289
            306 0.767027108328700 0.927620511032342
            312 0.208577593831578 0.794637351622770
            325 0.644101795201871 0.533395607497487
            326 -0.186974335667049 0.521869929406972
            334 -0.427671487096745 0.399903850134127
            335 0.029754934609226 0.400902360906005
            358 1.824928393354305 -0.162841148262105
            396 1.392679429341148 -0.991042056209519
            397 1.999935662266164 -1.000690450156458
            406 0.585653928083737 2.182890203201415
            427 -0.644763020207957 0.875994529757708
            432 -1.266998821357643 0.320285724271539
            436 1.838213143505417 -0.189597499921297
            459 -1.459604628126122 1.988416395274504
            471 1.266651621030053 1.486321130873471
            479 -0.953896197108967 1.040487691879454
            488 0.603949726565286 2.275389007197401
            491 0.568488389647193 2.030317764408375
            504 -1.286060138408810 1.408391626483317
            509 1.251322183172693 1.369610246015346
            510 -1.959428766715991 1.323763691610517
            513 0.779845111416692 1.296284530263300
            518 -0.232105611637526 1.195779568658434
            534 0.715289874230810 0.944747916538892
            538 0.008764853958990 0.801490792465840
            543 -0.421348856639184 0.660668837302167
            545 -1.890307301828045 0.642147863869007
            546 -1.276357214371982 0.641763865263973
            552 2.627463360775689 0.520022198284140
            554 0.112748396770182 0.440426189520948
            564 -0.028210550944491 0.274824407791969
            575 1.546721213342619 0.126681216066533
            583 1.695917445929823 -0.333363984606737
            591 -0.796933049340700 -0.433871329519727
