       image 		     Num    x                y            n   m
       B2_2.JPG              33      2.57498940      1.79639786   0   M
       B2_2.JPG              34      0.08189161      1.02979112   0   M
       B2_2.JPG              35      1.65717096      0.93435278   0   M
       B2_2.JPG              37      0.97370378      1.27960538   0   M
       B2_2.JPG              38     -0.56447967      0.20320638   0   M
       B2_2.JPG              39      0.01666581     -0.57211750   0   M
       B2_2.JPG              40      1.11102846     -0.09263785   0   M
       B2_2.JPG              41      0.06182092     -2.32478437   0   M
       B2_2.JPG              45      2.47793118     -0.51416994   0   M
       B2_2.JPG             107     -1.68821736      0.07255133   0   M
       B2_2.JPG             108     -2.58491373     -0.49416178   0   M
       B2_2.JPG             371      0.29453227      0.34684112   0   M
       B2_3.JPG              18     -0.33189339      1.86087564   0   M
       B2_3.JPG              24      1.90670408      2.01870347   0   M
       B2_3.JPG              29     -1.32188812      0.57914616   0   M
       B2_3.JPG              30     -1.36498177      1.21064169   0   M
       B2_3.JPG              31      2.10294415      1.58232979   0   M
       B2_3.JPG              32      2.53114606      1.25954402   0   M
       B2_3.JPG              33      2.74845648      1.61694205   0   M
       B2_3.JPG              34      0.07884593      0.72378036   0   M
       B2_3.JPG              35      1.81428511      0.59584305   0   M
       B2_3.JPG              37      1.05525219      0.99609877   0   M
       B2_3.JPG              38     -0.63500061     -0.23033701   0   M
       B2_3.JPG              39      0.01080859     -1.23087492   0   M
       B2_3.JPG              40      1.23923099     -0.62406714   0   M
       B2_3.JPG              45      2.81304222     -1.16919453   0   M
       B2_3.JPG             107     -1.81257628     -0.20167572   0   M
       B2_3.JPG             108     -2.76409930     -0.79511354   0   M
       B2_3.JPG             371      0.31958560     -0.12240804   0   M
       B2_4.JPG              18     -0.36191354      1.71691773   0   M
       B2_4.JPG              29     -1.45904083      0.24995487   0   M
       B2_4.JPG              30     -1.48232919      0.99301553   0   M
       B2_4.JPG              31      2.27555247      1.38112420   0   M
       B2_4.JPG              32      2.78017926      0.98840164   0   M
       B2_4.JPG              33      2.97848118      1.41829179   0   M
       B2_4.JPG              35      2.02647237      0.18630644   0   M
       B2_4.JPG              37      1.16644553      0.66189691   0   M
       B2_4.JPG              38     -0.72701346     -0.76317206   0   M
       B2_4.JPG              39     -0.00067171     -2.10759903   0   M
       B2_4.JPG              40      1.41012143     -1.30634724   0   M
       B2_4.JPG             107     -1.95175471     -0.50771937   0   M
       B2_4.JPG             108     -2.96885280     -1.13059943   0   M
       B2_4.JPG             371      0.35577528     -0.71723580   0   M
       B2_5.JPG              17     -0.27800698      1.91698315   0   M
       B2_5.JPG              18     -0.38866932      1.56121726   0   M
       B2_5.JPG              21      1.46694407      1.76348967   0   M
       B2_5.JPG              22      1.00281827      1.97517888   0   M
       B2_5.JPG              24      2.19644113      1.70533919   0   M
       B2_5.JPG              28     -0.65533671      0.41715881   0   M
       B2_5.JPG              29     -1.60132747     -0.11208374   0   M
       B2_5.JPG              30     -1.59887839      0.75973581   0   M
       B2_5.JPG              31      2.45687646      1.16297953   0   M
       B2_5.JPG              32      3.05587463      0.68532578   0   M
       B2_5.JPG              34      0.08696787     -0.04360901   0   M
       B2_5.JPG              35      2.27558374     -0.28748797   0   M
       B2_5.JPG              37      1.29553846      0.28233354   0   M
       B2_5.JPG              38     -0.82475884     -1.38200678   0   M
       B2_5.JPG              40      1.62688540     -2.13304247   0   M
       B2_5.JPG             107     -2.09501440     -0.82935081   0   M
       B2_5.JPG             371      0.40705339     -1.43191021   0   M
       B2_6.JPG              17     -0.30307595      1.81269030   0   M
       B2_6.JPG              18     -0.42779561      1.41162864   0   M
       B2_6.JPG              21      1.57801271      1.63609279   0   M
       B2_6.JPG              22      1.06973088      1.87712746   0   M
       B2_6.JPG              24      2.39594576      1.54718181   0   M
       B2_6.JPG              28     -0.73597890      0.08510927   0   M
       B2_6.JPG              29     -1.81170780     -0.54681420   0   M
       B2_6.JPG              30     -1.76328508      0.50578241   0   M
       B2_6.JPG              31      2.70822128      0.92992631   0   M
       B2_6.JPG              34      0.08707731     -0.54996932   0   M
       B2_6.JPG              35      2.63812228     -0.89674771   0   M
       B2_6.JPG              37      1.47914280     -0.18625953   0   M
       B2_6.JPG              38     -0.98107621     -2.21691814   0   M
       B2_6.JPG             107     -2.28719369     -1.20004254   0   M
       B2_7.JPG              16     -1.28066910      1.58667194   0   M
       B2_7.JPG              17     -0.32391198      1.71467794   0   M
       B2_7.JPG              18     -0.46614075      1.25613275   0   M
       B2_7.JPG              21      1.73129985      1.50863195   0   M
       B2_7.JPG              22      1.16458693      1.78591578   0   M
       B2_7.JPG              24      2.67596769      1.37805659   0   M
       B2_7.JPG              26      0.34574784      0.89458309   0   M
       B2_7.JPG              28     -0.83308383     -0.31550881   0   M
       B2_7.JPG              29     -2.08284857     -1.09647122   0   M
       B2_7.JPG              30     -1.96511381      0.21379628   0   M
       B2_7.JPG              31      3.06085708      0.65999141   0   M
       B2_7.JPG              34      0.10478967     -1.22775108   0   M
       B2_7.JPG              37      1.76019546     -0.80940500   0   M
       B2_7.JPG             107     -2.52607443     -1.64042717   0   M
       B2_8.JPG              17     -0.35980498      1.52961326   0   M
       B2_8.JPG              18     -0.51385763      0.99506327   0   M
       B2_8.JPG              21      1.86721858      1.29029356   0   M
       B2_8.JPG              22      1.24076165      1.61560506   0   M
       B2_8.JPG              24      2.94849230      1.09389400   0   M
       B2_8.JPG              26      0.37256597      0.60204384   0   M
       B2_8.JPG              27      0.19780199     -0.34916837   0   M
       B2_8.JPG              28     -0.93393723     -0.90087140   0   M
       B2_8.JPG              29     -2.38910614     -1.89745761   0   M
       B2_8.JPG              30     -2.17982852     -0.22358958   0   M
       B2_8.JPG              34      0.14688347     -2.24056551   0   M
       B2_8.JPG              37      2.11236260     -1.76036744   0   M
       B2_8.JPG             107     -2.78169438     -2.22668017   0   M
       B2_9.JPG              14     -0.73258964      1.61989878   0   M
       B2_9.JPG              16     -1.47283256      1.30054293   0   M
       B2_9.JPG              17     -0.39582305      1.37390030   0   M
       B2_9.JPG              18     -0.57666256      0.75094226   0   M
       B2_9.JPG              21      2.05483717      1.09133719   0   M
       B2_9.JPG              22      1.35048687      1.47265772   0   M
       B2_9.JPG              26      0.40455416      0.31340025   0   M
       B2_9.JPG              27      0.20737679     -0.95303954   0   M
       B2_9.JPG              28     -1.10435901     -1.57228019   0   M
       B2_9.JPG              30     -2.47913394     -0.68381076   0   M
      B2_10.JPG              14     -0.78463289      1.45505947   0   M
      B2_10.JPG              17     -0.42790486      1.14806002   0   M
      B2_10.JPG              21      2.28253461      0.80264193   0   M
      B2_10.JPG              22      1.48143878      1.26209769   0   M
      B2_10.JPG              26      0.45278622     -0.08448446   0   M
      B2_10.JPG              27      0.24117667     -1.84591409   0   M
      B2_10.JPG              30     -2.84627371     -1.32512122   0   M
       B3_1.JPG              35     -1.60904653      1.82173695   0   M
       B3_1.JPG              36     -0.92945451      1.12891081   0   M
       B3_1.JPG              43     -2.18061416     -0.30863630   0   M
       B3_1.JPG              44     -3.09719428     -0.52401014   0   M
       B3_1.JPG              45     -1.65435637      0.99321239   0   M
       B3_1.JPG              77      0.02116416      0.68535705   0   M
